Service,Total_Cost,Percentage
BoxUsage:m6a.2xlarge,278.4407038848,12.19
USE1-Kafka.m5.large,267.12,11.7
InstanceUsage:db.r6g.xl,202.0992,8.85
DataTransfer-Out-Bytes,151.37347019429998,6.63
USE1-Kafka.m7g.4xlarge,117.504,5.15
NatGateway-Hours,114.345,5.01
StorageIOUsage,85.05724520000001,3.72
LoadBalancerUsage,83.685,3.66
EUN1-KafkaServerless-ClusterHours,76.32,3.34
USE1-DataProcessing-Bytes,58.9787265947,2.58
NodeUsage:cache.t4g.small,51.711999999999996,2.26
CW:MetricMonitorUsage,50.4858333062,2.21
EBS:VolumeUsage.gp2,45.0769907576,1.97
USE1-Kafka.t3.small,44.00357822549999,1.93
USE1-PublicIPv4:InUseAddress,43.9934403,1.93
USE1-Kafka.m5.xlarge,40.32,1.77
InstanceUsage:db.t3.medium,39.312,1.72
InstanceUsage:db.t4g.medium,39.2006439248,1.72
EBS:SnapshotUsage,38.6247447716,1.69
USE1-Kafka.Storage.GP2,35.4805298849,1.55
DataTransfer-Regional-Bytes,28.2371433762,1.24
MP:cnft_usage-Units,24.0,1.05
USE2-BoxUsage:r6a.2xlarge,21.7728,0.95
APS3-InstanceUsageIOOptimized:db.r6g.xl,19.0936,0.84
BoxUsage:t2.2xlarge,17.8176,0.78
USE1-Kafka.m7g.large,14.688,0.64
BoxUsage:m6a.xlarge,13.824,0.61
USE1-VendedLog-Bytes,11.4756496074,0.5
BoxUsage:t2.xlarge,10.8768,0.48
APS3-BoxUsage:t2.xlarge,9.5232,0.42
APS3-BoxUsage:t2.2xlarge,9.5232,0.42
CPUCredits:db.t3,9.34409025,0.41
USE1-S3-Egress-Bytes,8.4757573869,0.37
CPUCredits:db.t4g,7.75428444,0.34
EUC1-EBS:SnapshotUsage,7.2427965818,0.32
APS3-InstanceUsage:db.t3.medium,7.223273801,0.32
USE2-ClientVPN-EndpointHours,7.2,0.32
APS3-InstanceUsageIOOptimized:db.t3.medium,5.9664,0.26
USE1-PaidComplianceCheck,5.928,0.26
USE1-WebACLV2,5.5388040565,0.24
USW2-Kafka.t3.small,5.472,0.24
APS3-BoxUsage:t2.medium,5.4528,0.24
USE2-BoxUsage:t3.medium,5.3184,0.23
APS3-LoadBalancerUsage,4.5888,0.2
APS3-EBS:VolumeUsage.gp2,4.1647999944,0.18
InstanceUsageIOOptimized:db.t3.medium,4.1184,0.18
USE2-LoadBalancerUsage,4.08,0.18
APS3-NatGateway-Hours,4.032,0.18
TS-LoadBalancerUsage,4.025,0.18
USE2-BoxUsage:t3.xlarge,3.9936,0.17
USE2-BoxUsage:t3.large,3.9936,0.17
APS3-VpcEndpoint-Hours,3.744,0.16
USE2-EBS:SnapshotUsage,3.6489420571,0.16
EUN1-TimedStorage-ByteHrs,3.5647817199,0.16
EUN1-Kafka.t3.small,3.4056,0.15
APS2-EBS:VolumeUsage.gp2,3.3919999944,0.15
UGW1-EBS:VolumeUsage.gp2,3.2800000008,0.14
DashboardsUsageHour-Basic,3.2583333305999997,0.14
USE2-NatGateway-Hours,3.24,0.14
USE2-Std-MicrosoftAD-DC-Usage,2.9431075999,0.13
USE1-AWSSecretsManager-Secrets,2.8866666666,0.13
CW:AlarmMonitorUsage,2.8467129646,0.12
USE2-EBS:VolumeUsage.gp3,2.7866666712,0.12
ConfigurationItemRecorded,2.6759999999999997,0.12
APS3-Kafka.t3.small,2.3568,0.1
NatGateway-Bytes,2.3328712968,0.1
EUC1-BoxUsage:c5.large,2.328,0.1
USE2-PublicIPv4:InUseAddress,2.28180278,0.1
TimedStorage-ByteHrs,2.2652177018,0.1
BoxUsage:t2.medium,2.2272,0.1
USE1-RuleV2,2.2155216227,0.1
USW2-EBS:VolumeUsage.gp2,2.2000000008,0.1
